Value	Measurement_mode	Measurement_wavelength	Strain	Time	Time2	Expe	Media	Species	Kingdom	Phylum	Class	Order	Family	Genus
0.237	Absorbance	600	R565	T72	72	Chamber	Soil_Wash	Achromobacter sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	NA
0.331	Absorbance	600	R565	T72	72	Chamber	Soil_Wash	Achromobacter sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	NA
0.392	Absorbance	600	R565	T72	72	Chamber	Soil_Wash	Achromobacter sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	NA
0.151	Absorbance	600	R568	T72	72	Chamber	Soil_Wash	Acidovorax sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
0.223	Absorbance	600	R568	T72	72	Chamber	Soil_Wash	Acidovorax sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
0.298	Absorbance	600	R568	T72	72	Chamber	Soil_Wash	Acidovorax sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
0.32	Absorbance	600	R651	T72	72	Chamber	Soil_Wash	Agrobacterium sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium
0.235	Absorbance	600	R651	T72	72	Chamber	Soil_Wash	Agrobacterium sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium
0.366	Absorbance	600	R651	T72	72	Chamber	Soil_Wash	Agrobacterium sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium
0.234	Absorbance	600	R147	T72	72	Chamber	Soil_Wash	Bacillus sp.	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
0.329	Absorbance	600	R147	T72	72	Chamber	Soil_Wash	Bacillus sp.	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
0.43	Absorbance	600	R147	T72	72	Chamber	Soil_Wash	Bacillus sp.	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
0.577	Absorbance	600	BFSC	T72	72	Chamber	Soil_Wash	BFSC	Bacteria Fungi	BFSC	BFSC	BFSC	BFSC	BFSC
0.419	Absorbance	600	BFSC	T72	72	Chamber	Soil_Wash	BFSC	Bacteria Fungi	BFSC	BFSC	BFSC	BFSC	BFSC
0.531	Absorbance	600	BFSC	T72	72	Chamber	Soil_Wash	BFSC	Bacteria Fungi	BFSC	BFSC	BFSC	BFSC	BFSC
0.54	Absorbance	600	BSC	T72	72	Chamber	Soil_Wash	BSC	Bacteria	BSC	BSC	BSC	BSC	BSC
0.438	Absorbance	600	BSC	T72	72	Chamber	Soil_Wash	BSC	Bacteria	BSC	BSC	BSC	BSC	BSC
0.476	Absorbance	600	BSC	T72	72	Chamber	Soil_Wash	BSC	Bacteria	BSC	BSC	BSC	BSC	BSC
