,Sample,Microbes,Culture,Media,Strain,Mean_TIC,TOTAL_TIC,CORRECTION2,PEAK_AREA,PEAK_AREA_TIC,PEAK_AREA_TIC_Log,PEAK_AREA_Log,TIC_Log_Scaled,Metabolites,Log_Scaled,Class,Sample_ID_F
25,100,MediaC,Control,SA,Media,15797741936,7122443142,0.450851974,1789750023,806912331.5,8.906826353,9.252792377,0.235212493,gluconic.acid,0.813335582,TCA Glycolysis,100_MediaC_Control_SA_Media
26,100,MediaC,Control,SA,Media,15797741936,7122443142,0.450851974,1461801530,659056105.9,8.818922388,9.164888412,-0.629778542,glucose.Unk_hexose,0.060763329,TCA Glycolysis,100_MediaC_Control_SA_Media
27,100,MediaC,Control,SA,Media,15797741936,7122443142,0.450851974,1767210088,796750157.3,8.901322158,9.247288182,0.122404571,glyceric.acid,0.740594021,TCA Glycolysis,100_MediaC_Control_SA_Media
28,100,MediaC,Control,SA,Media,15797741936,7122443142,0.450851974,20049448,9039333.216,6.956136396,7.30210242,-0.1572717,glycerol.3.phosphate,0.475228644,TCA Glycolysis,100_MediaC_Control_SA_Media
29,100,MediaC,Control,SA,Media,15797741936,7122443142,0.450851974,667184692,300801535.6,8.478280049,8.824246073,NA,isocitric.acid,0.20663674,TCA Glycolysis,100_MediaC_Control_SA_Media
30,100,MediaC,Control,SA,Media,15797741936,7122443142,0.450851974,503453822,226983149.6,8.355993618,8.701959642,-0.601111745,lactic.acid,0.379533729,TCA Glycolysis,100_MediaC_Control_SA_Media
31,100,MediaC,Control,SA,Media,15797741936,7122443142,0.450851974,6245922806,2815986629,9.449630588,9.795596612,0.707244846,malic.acid,1.11522069,TCA Glycolysis,100_MediaC_Control_SA_Media
32,100,MediaC,Control,SA,Media,15797741936,7122443142,0.450851974,27050288,12195675.75,7.086205869,7.432171893,-0.559552957,maltose_sucrose,0.270232036,TCA Glycolysis,100_MediaC_Control_SA_Media
33,100,MediaC,Control,SA,Media,15797741936,7122443142,0.450851974,20951335,9445950.75,6.975245677,7.321211701,0.116707815,mannitol_sorbitol,0.720742385,TCA Glycolysis,100_MediaC_Control_SA_Media
34,100,MediaC,Control,SA,Media,15797741936,7122443142,0.450851974,207826457,93698968.46,7.97173481,8.317700834,-0.780722684,pyruvic.acid,0.056677203,TCA Glycolysis,100_MediaC_Control_SA_Media
