SampleID	Marker	Numero_sample	BIO_SAMPLE_ID	BIO_SAMPLE_ID2	BIO_SAMPLE_ID3	Bio.rep	Tech.rep	Time_point	Time_point2	TREATMENT3	TREATMENT	ORGANISM	ORGANISM3	Good
GB_1	rRNA16S	1	01_F.B	Fungi	01_F.B_62h_Peat_B.1	B.1	T.1	62h	62	Peat	Peat	F.B	Fungi.Bacteria	F
GB_3	rRNA16S	2	02_F.B	Fungi	02_F.B_62h_Peat_B.1	B.1	T.2	62h	62	Peat	Peat	F.B	Fungi.Bacteria	F
GB_6	rRNA16S	3	03_B.F	Fungi	03_B.F_62h_Peat_B.1	B.1	T.1	62h	62	Peat	Peat	B.F	Bacteria.Fungi	F
GB_8	rRNA16S	4	04_B.F	Fungi	04_B.F_62h_Peat_B.1	B.1	T.2	62h	62	Peat	Peat	B.F	Bacteria.Fungi	F
GB_9	rRNA16S	5	05_X.B	Media	05_X.B_62h_Peat_B.1	B.1	T.1	62h	62	Peat	Peat	X.B	Media.Bacteria	X
GB_11	rRNA16S	6	06_X.B	Media	06_X.B_62h_Peat_B.1	B.1	T.2	62h	62	Peat	Peat	X.B	Media.Bacteria	X
GB_13	rRNA16S	7	07_X.F	Media	07_X.F_62h_Peat_B.1	B.1	T.1	62h	62	Peat	Peat	X.F	Media.Fungi	X
GB_14	rRNA16S	7	07_X.F	Fungi	07_X.F_62h_Peat_B.1	B.1	T.1	62h	62	Peat	Peat	X.F	Media.Fungi	F
GB_15	rRNA16S	8	08_X.F	Media	08_X.F_62h_Peat_B.1	B.1	T.2	62h	62	Peat	Peat	X.F	Media.Fungi	X
GB_16	rRNA16S	8	08_X.F	Fungi	08_X.F_62h_Peat_B.1	B.1	T.2	62h	62	Peat	Peat	X.F	Media.Fungi	F
GB_17	rRNA16S	9	09_X.BF	Media	09_X.BF_62h_Peat_B.1	B.1	T.1	62h	62	Peat	Peat	X.BF	Media.BacteriaFungi	X
GB_19	rRNA16S	10	10_X.BF	Media	10_X.BF_62h_Peat_B.1	B.1	T.2	62h	62	Peat	Peat	X.BF	Media.BacteriaFungi	X
GB_21	rRNA16S	12	12_X.X	Media	12_X.X_62h_Peat_B.1	B.1	T.1	62h	62	Peat	Peat	X.X	Media.Media	X
GB_22	rRNA16S	12	12_X.X	Media	12_X.X_62h_Peat_B.1	B.1	T.1	62h	62	Peat	Peat	X.X	Media.Media	X
GB_23	rRNA16S	13	13_F.B	Fungi	13_F.B_62h_Peat_B.2	B.2	T.1	62h	62	Peat	Peat	F.B	Fungi.Bacteria	F
GB_25	rRNA16S	14	14_F.B	Fungi	14_F.B_62h_Peat_B.2	B.2	T.2	62h	62	Peat	Peat	F.B	Fungi.Bacteria	F
GB_28	rRNA16S	15	15_B.F	Fungi	15_B.F_62h_Peat_B.2	B.2	T.1	62h	62	Peat	Peat	B.F	Bacteria.Fungi	F
GB_30	rRNA16S	16	16_B.F	Fungi	16_B.F_62h_Peat_B.2	B.2	T.2	62h	62	Peat	Peat	B.F	Bacteria.Fungi	F
GB_31	rRNA16S	17	17_X.B	Media	17_X.B_62h_Peat_B.2	B.2	T.1	62h	62	Peat	Peat	X.B	Media.Bacteria	X
GB_33	rRNA16S	18	18_X.B	Media	18_X.B_62h_Peat_B.2	B.2	T.2	62h	62	Peat	Peat	X.B	Media.Bacteria	X
GB_35	rRNA16S	19	19_X.F	Media	19_X.F_62h_Peat_B.2	B.2	T.1	62h	62	Peat	Peat	X.F	Media.Fungi	X
GB_36	rRNA16S	19	19_X.F	Fungi	19_X.F_62h_Peat_B.2	B.2	T.1	62h	62	Peat	Peat	X.F	Media.Fungi	F
GB_37	rRNA16S	20	20_X.F	Media	20_X.F_62h_Peat_B.2	B.2	T.2	62h	62	Peat	Peat	X.F	Media.Fungi	X
GB_38	rRNA16S	20	20_X.F	Fungi	20_X.F_62h_Peat_B.2	B.2	T.2	62h	62	Peat	Peat	X.F	Media.Fungi	F
GB_39	rRNA16S	22	22_X.BF	Media	22_X.BF_62h_Peat_B.2	B.2	T.1	62h	62	Peat	Peat	X.BF	Media.BacteriaFungi	X
GB_41	rRNA16S	23	23_X.X	Media	23_X.X_62h_Peat_B.2	B.2	T.1	62h	62	Peat	Peat	X.X	Media.Media	X
GB_42	rRNA16S	23	23_X.X	Media	23_X.X_62h_Peat_B.2	B.2	T.1	62h	62	Peat	Peat	X.X	Media.Media	X
GB_43	rRNA16S	24	24_X.X	Media	24_X.X_62h_Peat_B.2	B.2	T.2	62h	62	Peat	Peat	X.X	Media.Media	X
GB_44	rRNA16S	24	24_X.X	Media	24_X.X_62h_Peat_B.2	B.2	T.2	62h	62	Peat	Peat	X.X	Media.Media	X
GB_45	rRNA16S	25	25_F.B	Fungi	25_F.B_62h_Peat_B.3	B.3	T.1	62h	62	Peat	Peat	F.B	Fungi.Bacteria	F
GB_48	rRNA16S	27	27_B.F	Fungi	27_B.F_62h_Peat_B.3	B.3	T.1	62h	62	Peat	Peat	B.F	Bacteria.Fungi	F
GB_50	rRNA16S	28	28_B.F	Fungi	28_B.F_62h_Peat_B.3	B.3	T.2	62h	62	Peat	Peat	B.F	Bacteria.Fungi	F
GB_51	rRNA16S	29	29_X.B	Media	29_X.B_62h_Peat_B.3	B.3	T.1	62h	62	Peat	Peat	X.B	Media.Bacteria	X
GB_53	rRNA16S	30	30_X.B	Media	30_X.B_62h_Peat_B.3	B.3	T.2	62h	62	Peat	Peat	X.B	Media.Bacteria	X
GB_55	rRNA16S	31	31_X.F	Media	31_X.F_62h_Peat_B.3	B.3	T.1	62h	62	Peat	Peat	X.F	Media.Fungi	X
GB_56	rRNA16S	31	31_X.F	Fungi	31_X.F_62h_Peat_B.3	B.3	T.1	62h	62	Peat	Peat	X.F	Media.Fungi	F
GB_57	rRNA16S	32	32_X.F	Media	32_X.F_62h_Peat_B.3	B.3	T.2	62h	62	Peat	Peat	X.F	Media.Fungi	X
GB_58	rRNA16S	32	32_X.F	Fungi	32_X.F_62h_Peat_B.3	B.3	T.2	62h	62	Peat	Peat	X.F	Media.Fungi	F
GB_59	rRNA16S	33	33_X.BF	Media	33_X.BF_62h_Peat_B.3	B.3	T.1	62h	62	Peat	Peat	X.BF	Media.BacteriaFungi	X
GB_61	rRNA16S	34	34_X.BF	Media	34_X.BF_62h_Peat_B.3	B.3	T.2	62h	62	Peat	Peat	X.BF	Media.BacteriaFungi	X
GB_63	rRNA16S	35	35_X.X	Media	35_X.X_62h_Peat_B.3	B.3	T.1	62h	62	Peat	Peat	X.X	Media.Media	X
GB_64	rRNA16S	35	35_X.X	Media	35_X.X_62h_Peat_B.3	B.3	T.1	62h	62	Peat	Peat	X.X	Media.Media	X
GB_65	rRNA16S	36	36_X.X	Media	36_X.X_62h_Peat_B.3	B.3	T.2	62h	62	Peat	Peat	X.X	Media.Media	X
GB_66	rRNA16S	36	36_X.X	Media	36_X.X_62h_Peat_B.3	B.3	T.2	62h	62	Peat	Peat	X.X	Media.Media	X
GB_67	rRNA16S	37	37_F.B	Fungi	37_F.B_62h_Peat_B.4	B.4	T.1	62h	62	Peat	Peat	F.B	Fungi.Bacteria	F
GB_69	rRNA16S	38	38_F.B	Fungi	38_F.B_62h_Peat_B.4	B.4	T.2	62h	62	Peat	Peat	F.B	Fungi.Bacteria	F
GB_72	rRNA16S	39	39_B.F	Fungi	39_B.F_62h_Peat_B.4	B.4	T.1	62h	62	Peat	Peat	B.F	Bacteria.Fungi	F
GB_74	rRNA16S	40	40_B.F	Fungi	40_B.F_62h_Peat_B.4	B.4	T.2	62h	62	Peat	Peat	B.F	Bacteria.Fungi	F
GB_75	rRNA16S	41	41_X.B	Media	41_X.B_62h_Peat_B.4	B.4	T.1	62h	62	Peat	Peat	X.B	Media.Bacteria	X
GB_77	rRNA16S	42	42_X.B	Media	42_X.B_62h_Peat_B.4	B.4	T.2	62h	62	Peat	Peat	X.B	Media.Bacteria	X
GB_79	rRNA16S	43	43_X.F	Media	43_X.F_62h_Peat_B.4	B.4	T.1	62h	62	Peat	Peat	X.F	Media.Fungi	X
GB_80	rRNA16S	43	43_X.F	Fungi	43_X.F_62h_Peat_B.4	B.4	T.1	62h	62	Peat	Peat	X.F	Media.Fungi	F
GB_81	rRNA16S	44	44_X.F	Media	44_X.F_62h_Peat_B.4	B.4	T.2	62h	62	Peat	Peat	X.F	Media.Fungi	X
GB_82	rRNA16S	44	44_X.F	Fungi	44_X.F_62h_Peat_B.4	B.4	T.2	62h	62	Peat	Peat	X.F	Media.Fungi	F
GB_83	rRNA16S	45	45_X.BF	Media	45_X.BF_62h_Peat_B.4	B.4	T.1	62h	62	Peat	Peat	X.BF	Media.BacteriaFungi	X
GB_85	rRNA16S	46	46_X.BF	Media	46_X.BF_62h_Peat_B.4	B.4	T.2	62h	62	Peat	Peat	X.BF	Media.BacteriaFungi	X
GB_87	rRNA16S	47	47_X.X	Media	47_X.X_62h_Peat_B.4	B.4	T.1	62h	62	Peat	Peat	X.X	Media.Media	X
GB_88	rRNA16S	47	47_X.X	Media	47_X.X_62h_Peat_B.4	B.4	T.1	62h	62	Peat	Peat	X.X	Media.Media	X
GB_89	rRNA16S	48	48_X.X	Media	48_X.X_62h_Peat_B.4	B.4	T.2	62h	62	Peat	Peat	X.X	Media.Media	X
GB_90	rRNA16S	48	48_X.X	Media	48_X.X_62h_Peat_B.4	B.4	T.2	62h	62	Peat	Peat	X.X	Media.Media	X
GB_91	rRNA16S	49	49_F.B	Fungi	49_F.B_62h_Peat.A_B.1	B.1	T.1	62h	62	Peat.A	Peat.A	F.B	Fungi.Bacteria	F
GB_93	rRNA16S	50	50_F.B	Fungi	50_F.B_62h_Peat.A_B.1	B.1	T.2	62h	62	Peat.A	Peat.A	F.B	Fungi.Bacteria	F
GB_96	rRNA16S	51	51_B.F	Fungi	51_B.F_62h_Peat.A_B.1	B.1	T.1	62h	62	Peat.A	Peat.A	B.F	Bacteria.Fungi	F
GB_98	rRNA16S	52	52_B.F	Fungi	52_B.F_62h_Peat.A_B.1	B.1	T.2	62h	62	Peat.A	Peat.A	B.F	Bacteria.Fungi	F
GB_99	rRNA16S	53	53_X.B	Media	53_X.B_62h_Peat.A_B.1	B.1	T.1	62h	62	Peat.A	Peat.A	X.B	Media.Bacteria	X
GB_101	rRNA16S	54	54_X.B	Media	54_X.B_62h_Peat.A_B.1	B.1	T.2	62h	62	Peat.A	Peat.A	X.B	Media.Bacteria	X
GB_103	rRNA16S	55	55_X.F	Media	55_X.F_62h_Peat.A_B.1	B.1	T.1	62h	62	Peat.A	Peat.A	X.F	Media.Fungi	X
GB_104	rRNA16S	55	55_X.F	Fungi	55_X.F_62h_Peat.A_B.1	B.1	T.1	62h	62	Peat.A	Peat.A	X.F	Media.Fungi	F
GB_105	rRNA16S	57	57_X.BF	Media	57_X.BF_62h_Peat.A_B.1	B.1	T.1	62h	62	Peat.A	Peat.A	X.BF	Media.BacteriaFungi	X
GB_107	rRNA16S	58	58_X.BF	Media	58_X.BF_62h_Peat.A_B.1	B.1	T.2	62h	62	Peat.A	Peat.A	X.BF	Media.BacteriaFungi	X
GB_109	rRNA16S	59	59_X.X	Media	59_X.X_62h_Peat.A_B.1	B.1	T.1	62h	62	Peat.A	Peat.A	X.X	Media.Media	X
GB_110	rRNA16S	59	59_X.X	Media	59_X.X_62h_Peat.A_B.1	B.1	T.1	62h	62	Peat.A	Peat.A	X.X	Media.Media	X
GB_111	rRNA16S	60	60_X.X	Media	60_X.X_62h_Peat.A_B.1	B.1	T.2	62h	62	Peat.A	Peat.A	X.X	Media.Media	X
