Feature ID	Taxon	Strain	Confidence
bd797c368962e36c66f5b134c30960da	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	B329	0.998974719
37cb46a80ce73d50181555a8258e82a8	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	B420	0.999991581
72b21d905100fa549a5321a4526e6e25	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae	B565	0.999990992
8e95c9bcccd86e128b51f31effcf3a22	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	B16D2	0.999999971
ceafbe320eb2436a0c315fdbf0cbe636	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	B329	0.998927318
9dd43b18a48d6387f08c9e56c239b53b	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	B651	0.999779076
a1e41d883fcf4a43a2ac848a70c28543	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	B420	0.999989826
6e7955b491d027cf84f04ce2777fa6bc	d__Bacteria;Spike;Spike;Spike;Spike;Spike	Spike	0.941469258
139a898757d6d1108b58044e646ad0ba	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	B318D1	0.999999974
18c2f35a2cab330cebf03886ac68c2bb	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	B651	0.999813702
8d57bd677bdaae4149ea03147f8e8f9a	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	B09	0.99988076
291a58ac54b2011dacb098ccf128aea9	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Mesorhizobium	B695	0.849084692
9053d1784a189f5972fece877a62dc2d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Rhizobacter	B568	0.914220319
9593e5473a2afacf660fcebc879e595b	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces	B431	0.999986364
878d95f20fb188df84e520b9c16a3236	d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus		0.999997103
334387e1f8362975db3b362461a09301	d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus; s__Paenibacillus_xylanexedens		0.765139848
62919d6e7f842c459ebfcf186c1359b6	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	B147	0.997766302
1fd2c3e0a0878feeff13d155bbc49042	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.994539441
4893c70f7d6df6b9a18392fa6fb7cadb	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993446288
c8f474bd37d3164ce2dbd985d096c770	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium		0.999770192
1dced3045a2faab05e1b990c28bea28b	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993274419
aa8785e391a2b2f8dfa8d78a5a2739dd	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.9929155
ed9b5e65f14991da9b7edd37c0ae4e0c	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993430914
8110113411afc1a43e865119993c4e1c	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993306625
af5a04c273c855817be2e65494cbbfd2	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas		0.991501433
cf7f66a42bee0eeaa1389b1705256797	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993115178
cbfebd829878e8e7dd2f6e2024ec0e68	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993417014
96dd81d3a82e874d3df02634e27bd190	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993001319
c9d380625a1d09926d9a1e65be39c04a	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas		0.972676963
8f2ef400158ac35e67724e7262dacb73	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993448383
5343cd48d8d8173e39f3067190d03a7d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993303386
226fca2a921b449c6a7d955bab0e2c0d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993340405
137bdc0e4cc6157e8a171d1964ffd8d1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.99345807
dfe6ed54fbd002cd2d928178d2bc673d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.99366451
d0c7e3a3e1ff198f9cb743d550ddf768	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.994655686
ea07851f37761c38cf5ecaadeded6aae	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.991997052
6637964b337f3324cbc48e8806fc5347	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.992544462
6295ef0515b2d0a815dd469fa07c6235	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.992755457
df7cb7a27a995e82c07d6feb4c32dc97	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.99330062
a04155b166d3530372ba3af63bfb3dfb	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993299822
05412f811d3d535e9cb3e16c0488b796	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993037734
1a95ce2b81f915dfd248f6bdd2f7b4aa	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.992159737
9711db22468bc474ec3fdbefe504a5c8	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas; s__uncultured_soil		0.87926827
