SampleID	Marker	Numero_sample	BIO_SAMPLE_ID	BIO_SAMPLE_ID2	BIO_SAMPLE_ID3	Bio.rep	Tech.rep	Time_point	Time_point2	TREATMENT3	TREATMENT	ORGANISM	ORGANISM3	Good
GF_284	ITS	49	49_F.B	Bacteria	49_F.B_62h_Peat.A.BF_B.1	B.1	T.1	62h	62	Peat.A.BF	Peat.A.BF	F.B	Fungi.Bacteria	B
GF_286	ITS	50	50_F.B	Bacteria	50_F.B_62h_Peat.A.BF_B.1	B.1	T.2	62h	62	Peat.A.BF	Peat.A.BF	F.B	Fungi.Bacteria	B
GF_287	ITS	51	51_B.F	Bacteria	51_B.F_62h_Peat.A.BF_B.1	B.1	T.1	62h	62	Peat.A.BF	Peat.A.BF	B.F	Bacteria.Fungi	B
GF_291	ITS	53	53_X.B	Media	53_X.B_62h_Peat.A.BF_B.1	B.1	T.1	62h	62	Peat.A.BF	Peat.A.BF	X.B	Media.Bacteria	X
GF_292	ITS	53	53_X.B	Bacteria	53_X.B_62h_Peat.A.BF_B.1	B.1	T.1	62h	62	Peat.A.BF	Peat.A.BF	X.B	Media.Bacteria	B
GF_293	ITS	54	54_X.B	Media	54_X.B_62h_Peat.A.BF_B.1	B.1	T.2	62h	62	Peat.A.BF	Peat.A.BF	X.B	Media.Bacteria	X
GF_294	ITS	54	54_X.B	Bacteria	54_X.B_62h_Peat.A.BF_B.1	B.1	T.2	62h	62	Peat.A.BF	Peat.A.BF	X.B	Media.Bacteria	B
GF_295	ITS	55	55_X.F	Media	55_X.F_62h_Peat.A.BF_B.1	B.1	T.1	62h	62	Peat.A.BF	Peat.A.BF	X.F	Media.Fungi	X
GF_297	ITS	56	56_X.F	Media	56_X.F_62h_Peat.A.BF_B.1	B.1	T.2	62h	62	Peat.A.BF	Peat.A.BF	X.F	Media.Fungi	X
GF_299	ITS	57	57_NA.NA	NA	57_NA.NA_62h_Peat.A.BF_B.1	B.1	T.1	62h	62	Peat.A.BF	Peat.A.BF	NA.NA	Controlpos	NA
GF_301	ITS	58	58_X.BF	Media	58_X.BF_62h_Peat.A.BF_B.1	B.1	T.1	62h	62	Peat.A.BF	Peat.A.BF	X.BF	Media.BacteriaFungi	X
GF_302	ITS	58	58_X.BF	BacteriaFungi	58_X.BF_62h_Peat.A.BF_B.1	B.1	T.1	62h	62	Peat.A.BF	Peat.A.BF	X.BF	Media.BacteriaFungi	BF
GF_303	ITS	59	59_X.X	Media	59_X.X_62h_Peat.A.BF_B.1	B.1	T.1	62h	62	Peat.A.BF	Peat.A.BF	X.X	Media.Media	X
GF_304	ITS	59	59_X.X	Media	59_X.X_62h_Peat.A.BF_B.1	B.1	T.1	62h	62	Peat.A.BF	Peat.A.BF	X.X	Media.Media	X
GF_308	ITS	61	61_F.B	Bacteria	61_F.B_62h_Peat.A.BF_B.2	B.2	T.1	62h	62	Peat.A.BF	Peat.A.BF	F.B	Fungi.Bacteria	B
GF_309	ITS	62	62_F.B	Fungi	62_F.B_62h_Peat.A.BF_B.2	B.2	T.2	62h	62	Peat.A.BF	Peat.A.BF	F.B	Fungi.Bacteria	F
GF_311	ITS	63	63_B.F	Bacteria	63_B.F_62h_Peat.A.BF_B.2	B.2	T.1	62h	62	Peat.A.BF	Peat.A.BF	B.F	Bacteria.Fungi	B
GF_313	ITS	64	64_B.F	Bacteria	64_B.F_62h_Peat.A.BF_B.2	B.2	T.2	62h	62	Peat.A.BF	Peat.A.BF	B.F	Bacteria.Fungi	B
GF_314	ITS	64	64_B.F	Fungi	64_B.F_62h_Peat.A.BF_B.2	B.2	T.2	62h	62	Peat.A.BF	Peat.A.BF	B.F	Bacteria.Fungi	F
GF_315	ITS	65	65_X.B	Media	65_X.B_62h_Peat.A.BF_B.2	B.2	T.1	62h	62	Peat.A.BF	Peat.A.BF	X.B	Media.Bacteria	X
GF_316	ITS	65	65_X.B	Bacteria	65_X.B_62h_Peat.A.BF_B.2	B.2	T.1	62h	62	Peat.A.BF	Peat.A.BF	X.B	Media.Bacteria	B
GF_319	ITS	67	67_X.F	Media	67_X.F_62h_Peat.A.BF_B.2	B.2	T.1	62h	62	Peat.A.BF	Peat.A.BF	X.F	Media.Fungi	X
GF_321	ITS	68	68_X.F	Media	68_X.F_62h_Peat.A.BF_B.2	B.2	T.2	62h	62	Peat.A.BF	Peat.A.BF	X.F	Media.Fungi	X
GF_323	ITS	69	69_X.BF	Media	69_X.BF_62h_Peat.A.BF_B.2	B.2	T.1	62h	62	Peat.A.BF	Peat.A.BF	X.BF	Media.BacteriaFungi	X
GF_325	ITS	70	70_X.BF	Media	70_X.BF_62h_Peat.A.BF_B.2	B.2	T.2	62h	62	Peat.A.BF	Peat.A.BF	X.BF	Media.BacteriaFungi	X
GF_326	ITS	70	70_X.BF	BacteriaFungi	70_X.BF_62h_Peat.A.BF_B.2	B.2	T.2	62h	62	Peat.A.BF	Peat.A.BF	X.BF	Media.BacteriaFungi	BF
GF_327	ITS	71	71_X.X	Media	71_X.X_62h_Peat.A.BF_B.2	B.2	T.1	62h	62	Peat.A.BF	Peat.A.BF	X.X	Media.Media	X
GF_328	ITS	71	71_X.X	Media	71_X.X_62h_Peat.A.BF_B.2	B.2	T.1	62h	62	Peat.A.BF	Peat.A.BF	X.X	Media.Media	X
GF_330	ITS	72	72_X.X	Media	72_X.X_62h_Peat.A.BF_B.2	B.2	T.2	62h	62	Peat.A.BF	Peat.A.BF	X.X	Media.Media	X
GF_332	ITS	73	73_F.B	Bacteria	73_F.B_62h_Peat.A.BF_B.3	B.3	T.1	62h	62	Peat.A.BF	Peat.A.BF	F.B	Fungi.Bacteria	B
GF_333	ITS	74	74_F.B	Fungi	74_F.B_62h_Peat.A.BF_B.3	B.3	T.2	62h	62	Peat.A.BF	Peat.A.BF	F.B	Fungi.Bacteria	F
GF_335	ITS	75	75_B.F	Bacteria	75_B.F_62h_Peat.A.BF_B.3	B.3	T.1	62h	62	Peat.A.BF	Peat.A.BF	B.F	Bacteria.Fungi	B
GF_337	ITS	76	76_B.F	Bacteria	76_B.F_62h_Peat.A.BF_B.3	B.3	T.2	62h	62	Peat.A.BF	Peat.A.BF	B.F	Bacteria.Fungi	B
GF_338	ITS	76	76_B.F	Fungi	76_B.F_62h_Peat.A.BF_B.3	B.3	T.2	62h	62	Peat.A.BF	Peat.A.BF	B.F	Bacteria.Fungi	F
GF_339	ITS	77	77_X.B	Media	77_X.B_62h_Peat.A.BF_B.3	B.3	T.1	62h	62	Peat.A.BF	Peat.A.BF	X.B	Media.Bacteria	X
GF_340	ITS	77	77_X.B	Bacteria	77_X.B_62h_Peat.A.BF_B.3	B.3	T.1	62h	62	Peat.A.BF	Peat.A.BF	X.B	Media.Bacteria	B
GF_341	ITS	78	78_X.B	Media	78_X.B_62h_Peat.A.BF_B.3	B.3	T.2	62h	62	Peat.A.BF	Peat.A.BF	X.B	Media.Bacteria	X
GF_343	ITS	80	80_X.F	Media	80_X.F_62h_Peat.A.BF_B.3	B.3	T.1	62h	62	Peat.A.BF	Peat.A.BF	X.F	Media.Fungi	X
