OTU ID	GF_1	GF_10	GF_100	GF_101	GF_102	GF_103	GF_104	GF_105	GF_106	GF_107	GF_108	GF_109	GF_110	GF_111	GF_112	GF_113	GF_114	GF_115	GF_116	GF_117	GF_118	GF_119	GF_12	GF_120	GF_121	GF_122	GF_123	GF_124	GF_125	GF_126	GF_127	GF_128	GF_129	GF_13	GF_130	GF_131	GF_132	GF_133	GF_134	GF_135	GF_136	GF_137	GF_138	GF_139	GF_14	GF_140	GF_141	GF_142	GF_143	GF_144	GF_145	GF_146	GF_147	GF_148	GF_149	GF_15	GF_150	GF_151	GF_152	GF_153	GF_154	GF_155	GF_156	GF_157	GF_158	GF_159	GF_16	GF_160	GF_161	GF_162	GF_163	GF_164	GF_165	GF_166	GF_167	GF_168	GF_169	GF_17	GF_170	GF_171	GF_172	GF_173	GF_174	GF_175	GF_176	GF_177	GF_178	GF_179	GF_18	GF_180	GF_181	GF_182	GF_183	GF_184	GF_185	GF_186	GF_187	GF_188	GF_189	GF_19	GF_190	GF_191	GF_192	GF_193	GF_194	GF_195	GF_196	GF_197	GF_198	GF_199	GF_2	GF_20	GF_200	GF_201	GF_202	GF_203	GF_204	GF_205	GF_206	GF_207	GF_208	GF_209	GF_21	GF_210	GF_211	GF_212	GF_213	GF_214	GF_215	GF_216	GF_217	GF_218	GF_219	GF_22	GF_220	GF_221	GF_222	GF_223	GF_224	GF_225	GF_226	GF_227	GF_228	GF_229	GF_23	GF_230	GF_231	GF_232	GF_233	GF_234	GF_235	GF_236	GF_237	GF_238	GF_239	GF_24	GF_240	GF_241	GF_242	GF_243	GF_244	GF_245	GF_246	GF_247	GF_248	GF_249	GF_25	GF_250	GF_251	GF_252	GF_253	GF_254	GF_255	GF_256	GF_257	GF_258	GF_259	GF_26	GF_260	GF_261	GF_262	GF_263	GF_264	GF_265	GF_266	GF_267	GF_268	GF_269	GF_27	GF_270	GF_271	GF_272	GF_273	GF_274	GF_275	GF_276	GF_277	GF_278	GF_279	GF_28	GF_280	GF_281	GF_282	GF_283	GF_284	GF_285	GF_286	GF_287	GF_288	GF_289	GF_29	GF_290	GF_291	GF_292	GF_293	GF_294	GF_295	GF_296	GF_297	GF_298	GF_299	GF_3	GF_30	GF_300	GF_301	GF_302	GF_303	GF_304	GF_305	GF_306	GF_307	GF_308	GF_309	GF_31	GF_310	GF_311	GF_312	GF_313	GF_314	GF_315	GF_316	GF_317	GF_318	GF_319	GF_32	GF_320	GF_321	GF_322	GF_323	GF_324	GF_325	GF_326	GF_327	GF_328	GF_329	GF_33	GF_330	GF_331	GF_332	GF_333	GF_334	GF_335	GF_336	GF_337	GF_338	GF_339	GF_34	GF_340	GF_341	GF_342	GF_343	GF_344	GF_345	GF_346	GF_347	GF_348	GF_349	GF_35	GF_350	GF_351	GF_352	GF_353	GF_354	GF_355	GF_356	GF_357	GF_358	GF_359	GF_36	GF_360	GF_361	GF_362	GF_363	GF_364	GF_365	GF_366	GF_367	GF_368	GF_369	GF_37	GF_370	GF_371	GF_372	GF_373	GF_374	GF_375	GF_376	GF_377	GF_378	GF_379	GF_38	GF_380	GF_381	GF_382	GF_383	GF_384	GF_39	GF_40	GF_41	GF_42	GF_43	GF_44	GF_45	GF_46	GF_47	GF_48	GF_49	GF_5	GF_50	GF_51	GF_52	GF_53	GF_54	GF_55	GF_56	GF_57	GF_58	GF_59	GF_6	GF_60	GF_61	GF_62	GF_63	GF_64	GF_65	GF_66	GF_67	GF_68	GF_69	GF_7	GF_70	GF_72	GF_73	GF_74	GF_75	GF_76	GF_77	GF_78	GF_79	GF_8	GF_80	GF_81	GF_82	GF_83	GF_84	GF_85	GF_86	GF_87	GF_88	GF_89	GF_9	GF_90	GF_91	GF_92	GF_93	GF_94	GF_95	GF_96	GF_97	GF_98	GF_99
87cf893d24ce10696c4fbf2945a4805a	16075	27	5	0	23	3	17502	0	27558	5	28838	17	33	4	21	55057	35	16	29590	9	33607	27	35	0	18	15	7	55770	8	32589	9	43172	0	12	12	7	25	22919	15	30084	35	9	23883	10	49454	603	32	3	11	29	15	30264	5	23675	5	10	31847	6	22	7	39	19823	21	25379	30	0	27798	36080	11	33715	37	0	36	13	0	32559	8	25	35191	5	29527	9	28800	5	26	9	34	4955	22015	16415	18352	7383	6898	16593	10040	414	41	8	31	10	19	7	36	15913	22	20155	4	9	18044	0	26	41034	19645	8	15	4	24428	14	31630	15	22741	15	10	26302	6	18	8	16	20072	0	15819	14	6	26	12165	0	10703	9	30	0	13	3	17614	11	27619	10885	18	10859	7	5119	14	0	13	7	10713	0	18	24859	25	7	18274	4	18577	8	19	7	6730	24880	11	23593	7	20918	0	29074	12	14	24	15	0	24722	13	4	25618	5	22749	12	10	0	12	21	0	18299	3	21827	6	26049	4	19466	6	34519	11	10	9	22471	0	20451	14	5	18465	6370	0	24775	13	4	5	27	0	23149	7	22903	5	18433	17845	22624	9348	23	8	13	14	27	23630	22	15075	6	17	22	1298	11	22102	8946	27	12	22	0	45	24693	6	24543	3	18043	11	15	23	26	10511	0	15	18199	4	15350	6	11	16785	16	24564	0	29	16	13	13310	11	18325	6	25544	15	12	14	11	21	5	13310	23420	19	32042	1	26	24981	7	21503	23344	0	34	3	10	0	29339	7	27790	0	17	24871	0	30	8	41	5371	9223	7752	12192	13191	17274	15766	14464	17288	0	22	13	46674	11	23	13	0	38828	2	9	35327	16	0	35706	7	30	0	41	3	23005	4	36608	14	29522	30127	26	37314	7	59	20	20	48832	0	49670	1	13	33811	0	36799	0	12	3	37	9	28964	210	0	44870	7	44466	9	34106	18	14	18	0	8	45009	7	32623	27	8	44377	19	28282	19
cd61da468f291ccf2b8ea7b7ed2ff343	26484	3	0	9	10	8	16932	5	452	2	1463	0	0	6	14	2285	9	3	37	5	101	5	4	10	9	15	0	298	14	1397	5	15	8	0	5	0	0	2185	14	3295	6	12	142	8	1872	6	11	6	0	0	11	3854	8	23874	13	10	698	10	0	4	13	1134	7	2689	11	0	672	495	8	864	16	3	4	0	0	6619	2	8	253	0	180	11	48	4	4	10	0	18	42	12	0	12	201	1411	785	53	5	9	4	5	5	0	4	102	3	14	0	7	36	3	0	118	8	0	0	0	3	0	5	4	5	0	0	50	0	0	0	0	332	0	46	0	0	4	12	3	0	0	0	0	0	0	40	0	667	29	3	8	0	11	0	7	7	0	42	6	4	8	9	6	10	0	6	8	3	5	14338	217	3	178	6	0	0	12	6	7	9	7	0	200	0	4	6	0	8	0	0	7	8	0	0	479	0	113	0	26	5	5	0	25	0	6	0	4	6	3	12	0	15	0	7	0	8	4	4	0	3	20	4	4	2	30369	58	5	6	7	7	0	0	0	230	0	229	0	0	6	4	17	11	6	0	0	8	6	6	43	7	20	5	31	8	7	3	0	9	13	0	98	0	191	2	3	29	0	0	5	9	4	4	0	10	32	4	22	0	0	9	0	0	0	11	188	4	341	0	4	0	0	14187	15	6	4	10	7	9	10	0	33	7	10	16	3	4	10	0	0	10	10	0	13003	28460	13068	14242	14443	3	5	9	112	4	6	7	0	10681	4	0	483	0	0	177	5	9	8	0	0	11733	0	12412	0	214	921	10	45	3	6	11	11	11677	0	35001	0	0	9125	3	1040	4	0	6	0	0	3424	15	6	7414	10	3033	0	199	2	8	0	0	0	19206	9	64	14	0	178	3	259	11
66ffc9027c7046d5c021be1b68f9553b	26992	0	0	0	0	0	2440	0	0	0	7	0	0	0	0	235	0	0	6	0	0	0	4	0	0	0	0	241	0	284	0	0	0	0	0	0	0	1199	0	759	0	0	0	0	614	0	0	0	0	0	0	45	0	3966	0	0	53	0	0	0	0	273	4	250	0	0	139	42	0	426	0	0	0	0	0	304	0	0	102	0	42	0	35	0	0	0	0	0	5	0	0	0	32	81	30	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16628	0	0	5	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	30952	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	454	29006	671	641	539	0	0	0	0	0	0	0	0	8382	0	0	82	0	0	0	0	0	0	0	0	17358	0	9194	0	116	56	0	93	0	0	0	2	7773	0	5017	0	0	255	0	6	0	0	0	0	0	682	14	0	8573	0	0	0	21	0	6	0	0	0	10405	0	36	0	0	0	0	5	0
f6449dceb787afd49b5174d3a2a52073	47	0	0	0	0	0	81	0	0	0	12	0	0	0	0	12	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	8	0	0	0	0	80	0	0	0	0	0	0	7	0	119	0	0	0	0	0	0	0	5	0	7	0	0	98	0	0	92	0	0	0	0	0	33	0	0	0	0	31	0	7	0	0	0	0	0	0	0	0	0	303	496	302	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5291	51	4653	4425	4687	0	0	0	0	0	0	0	0	560	0	0	0	0	0	6	0	0	0	0	0	320	0	430	0	0	23	0	0	0	0	0	0	53	0	56	0	0	36	0	14	0	0	0	0	0	0	3	0	45	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
8489d1dc5b007aade2a1f931b27dc312	392	0	0	0	0	0	365	5	143	0	6	0	0	0	0	81	0	0	3	0	0	6	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	34	0	57	0	0	0	0	70	13	0	0	0	6	0	45	0	399	0	0	0	0	0	7	0	37	0	48	0	0	100	0	0	106	0	0	0	0	0	78	0	0	0	0	14	0	0	0	0	0	0	0	0	0	4	6	105	207	80	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	99	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474	0	0	0	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	5	4	0	5	0	5	3	0	9	27	0	14	0	112	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	0	0	0	0	0	2	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	4	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1009	422	1108	993	1154	0	0	0	146	0	0	0	12	657	3	0	33	0	0	16	0	0	0	5	0	559	6	522	0	1	54	0	0	0	0	0	0	67	0	99	0	4	144	0	5	0	0	0	5	0	9	4	0	134	0	58	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bdd8d942c33f8b4b0d585387e12bd2a8	834	0	0	0	0	0	858	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	140	0	0	53	0	0	0	0	0	0	236	0	0	560	0	0	551	0	0	0	0	0	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	897	360	269	0	0	0	0	0	0	0	0	0	100	0	0	78	0	0	0	0	0	0	0	0	211	0	143	0	2	0	0	0	0	0	0	0	91	0	4	0	0	509	0	0	0	0	0	0	0	324	7	0	102	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3b3e7797b3bebbeaf382aee12f24f9c0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	142	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	67	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	411	0	0	0	0	0	111	0	0	0	0	0	780	0	899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
739b19ecb6ef26b3e7903db1ec131540	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	68	0	37	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	79	0	6	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0
3eedb6b27c4af91c9c7107d5c0e7467f	4	0	0	0	0	0	0	0	8	0	9	0	0	0	0	8	0	0	6	0	0	0	0	0	0	0	0	7	0	3	0	18	0	0	0	0	0	2	0	3	0	0	0	0	6	0	0	0	0	0	0	6	0	10	0	0	0	0	0	0	0	2	0	9	0	0	4	0	0	6	0	0	0	0	0	0	0	0	4	0	9	0	7	0	0	0	0	4	0	20	65	8	5	13	10	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	10	0	0	9	0	0	0	0	0	0	0	11	0	6	10	0	0	0	0	0	0	13	0	7	0	0	0	0	6	0	0	0	0	0	3	0	0	7	0	2	0	9	0	0	0	0	0	0	0	8	0	0	0	0	4	0
ba05d11b0ed5076e0db323b7c575b3ad	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
