Feature ID	Taxon	Strain	Strain2	Confidence
87cf893d24ce10696c4fbf2945a4805a	k__Fungi;Spike;Spike;Spike;Spike;Spike	Spike	Spike	1
cd61da468f291ccf2b8ea7b7ed2ff343	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella;s__Plectosphaerella_oratosquillae	F16	Plectosphaerella cucumerina	0.785833728
66ffc9027c7046d5c021be1b68f9553b	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	F212	Fusarium oxysporum	0.999827388
f6449dceb787afd49b5174d3a2a52073	k__Fungi; Ascomycota; Dothideomycetes; Pleosporales; Torulaceae;Dendryphion;nanum	F243	Dendryphion nanum	1
8489d1dc5b007aade2a1f931b27dc312	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Dactylonectria;s__Dactylonectria_macrodidyma	F147	Dactylonectria macrodidyma	0.989861242
bdd8d942c33f8b4b0d585387e12bd2a8	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella;s__Plectosphaerella_oratosquillae		Plectosphaerella cucumerina	0.834802446
3b3e7797b3bebbeaf382aee12f24f9c0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella;s__Plectosphaerella_oratosquillae	F16	Plectosphaerella cucumerina	0.844450194
739b19ecb6ef26b3e7903db1ec131540	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella;s__Plectosphaerella_oratosquillae	F16	Plectosphaerella cucumerina	0.797517259
3eedb6b27c4af91c9c7107d5c0e7467f	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Dichotomopilus;s__Dichotomopilus_sp			0.99983386
ba05d11b0ed5076e0db323b7c575b3ad	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella;s__Plectosphaerella_oratosquillae			0.827982446
0a84f3a440269652fcc64e7eeb6ba621	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula;s__Rhodotorula_diobovata			0.999974882
5290fc18a238da90a69482381b79d9e6	k__Fungi			1
13423b552eb3f52f3a0b7b16cc279554	k__Fungi			1
3afacfbfb7a213e5352ca862202e0b26	k__Fungi			1
1b45799399a51df3b9831702e7570cd7	k__Fungi			1
54651d1b8d7cc305768b1d661d968127	k__Fungi			1
4368941af93e227573f881222d135031	k__Fungi			1
51b24576f0fd8c5c218567146745a210	k__Fungi			1
c8b717e4a0cdfe886a3318ca19f63531	k__Fungi			1
6885bdef87cb2c7bc34f2cdabc0eca96	k__Fungi			1
bbf9c627d032a56aa0b5998e77d1b22b	k__Fungi			1
9ca812d11bde087a53e0edb2c0296902	k__Fungi			1
87a064b3f8daff8a08a02c2845da4279	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_carnescens			0.999843925
fa001c50dbea5e2a88f0aae657a3135d	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_sp			0.862455176
2e57c7f2114bdfabe95e425768f1fc5f	k__Fungi			1
b43203a3235115ff11e09bb9d1b41a85	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariales_fam_Incertae_sedis;g__Fusidium;s__Fusidium_sp			0.73654745
5504317e6686354b4665b8fd69b7ba83	k__Fungi			1
939aa405b36f731163a6e64756dae0ef	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_atlantica			0.999945436
b5ba3489475e547bbcb13aeff06bcae7	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_atlantica			0.999908186
1fc6bbf8374c4fa5301b79b77dc6ed5d	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella;s__Plectosphaerella_oratosquillae			0.792674916
d64ff5ef264516bfc177a23cac7dfe5b	k__Fungi			1
147ea33dc53eef4da23d13592945d12c	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella;s__Plectosphaerella_oratosquillae			0.71249653
36fd32226e14333d400809aaaa6575c3	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Itersonilia;s__Itersonilia_perplexans			0.974536622
ef31f1b2677abcf51844903dbc184470	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema;s__Papiliotrema_laurentii			0.996190702
0ce94f1482197225d6caf255c7e806f0	k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia			0.999999999
a59945f9d0e60ecbeb7f551b02f6e185	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_victoriae			0.999892258
f43122d1b872ab9cd043b89c153fce62	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_sp			0.82560606
dfc1b5e4f5f0bde1c925206fb7250051	k__Fungi			1
dd7adc1bd1d870ec6370125065e753e8	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema;s__Papiliotrema_laurentii			0.998979121
32c27131a4d14ac87e1e63c5b64905cd	k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__Malassezia_restricta			0.99973735
eb4ffb3735ba8ab5dba88ce72af0a3b8	k__Fungi			1
1df0fc79578204eb281ad1de3665aff1	k__Fungi			1
67a14ad388011532241129e2e76e31ec	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae;g__Trametes;s__Trametes_versicolor			0.99999478
e8e4bc5b5eeab2c07b1a3868990d493b	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Agaricus;s__Agaricus_bisporus			0.792434688
1686e3ecc6e6580aac586bc21b037acc	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_herbarum			0.99737788
fedb5a1f04bd401d66befc4f218f193e	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Dichotomopilus;s__Dichotomopilus_sp			0.99909747
df345bc8d4728c04d06b8fa9621d82eb	k__Fungi			1
ccd86f40b90a55a4a4fa7b7c936cf808	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula;s__Rhodotorula_babjevae			0.79766188
9b41e415193453eb1245476feabfbd48	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Apiotrichum;s__Apiotrichum_laibachii			0.754288412
46f9bfb48684f19ba4a81cec9f85286b	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_digitatum			0.950155517
483e043fba65e5ca0ed11f02d9499dc0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Physalacriaceae;g__Armillaria;s__Armillaria_borealis			0.999924761
34fe537726fe2cd205999299ef8e0fba	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium			0.999562668
