Number	Bio_rep	TREATMENT_1	ORGANISM	Length	Length_Log
1	B_1	Peat	Bacteria+Fungi-Media	9.601	0.98231647
1	B_1	Peat	Bacteria+Fungi-Media	40.436	1.606768188
1	B_1	Peat	Bacteria+Fungi-Media	3.132	0.495821753
1	B_1	Peat	Bacteria+Fungi-Media	0.635	-0.197226275
1	B_1	Peat	Bacteria+Fungi-Media	1.185	0.07371835
1	B_1	Peat	Bacteria+Fungi-Media	13.431	1.128108349
1	B_1	Peat	Bacteria+Fungi-Media	5.916	0.772028165
1	B_1	Peat	Bacteria+Fungi-Media	30.577	1.485394873
1	B_1	Peat	Bacteria+Fungi-Media	1.145	0.058805487
1	B_1	Peat	Bacteria+Fungi-Media	1.552	0.190891717
1	B_1	Peat	Bacteria+Fungi-Media	3.946	0.596157081
1	B_1	Peat	Bacteria+Fungi-Media	1.176	0.070407322
1	B_1	Peat	Bacteria+Fungi-Media	41.562	1.618696438
1	B_1	Peat	Bacteria+Fungi-Media	39.015	1.591231611
1	B_1	Peat	Bacteria+Fungi-Media	17.678	1.24743313
1	B_1	Peat	Bacteria+Fungi-Media	5.294	0.723783937
1	B_1	Peat	Bacteria+Fungi-Media	4.336	0.637089274
1	B_1	Peat	Bacteria+Fungi-Media	2.163	0.335056519
1	B_1	Peat	Bacteria+Fungi-Media	44.938	1.65261374
1	B_1	Peat	Bacteria+Fungi-Media	19.467	1.289299029
1	B_1	Peat	Bacteria+Fungi-Media	0	#NUM!
1	B_1	Peat	Bacteria+Fungi-Media	0	#NUM!
1	B_1	Peat	Bacteria+Fungi-Media	0	#NUM!
1	B_1	Peat	Bacteria+Fungi-Media	0	#NUM!
1	B_1	Peat	Bacteria+Fungi-Media	0	#NUM!
1	B_1	Peat	Bacteria+Fungi-Media	0	#NUM!
1	B_1	Peat	Bacteria+Fungi-Media	0	#NUM!
1	B_1	Peat	Bacteria+Fungi-Media	0	#NUM!
1	B_1	Peat	Bacteria+Fungi-Media	0	#NUM!
1	B_1	Peat	Bacteria+Fungi-Media	0	#NUM!
1	B_1	Peat	Media-Media	5.457	0.736953954
1	B_1	Peat	Media-Media	16.999	1.230423374
1	B_1	Peat	Media-Media	2.502	0.398287305
1	B_1	Peat	Media-Media	0.877	-0.057000407
1	B_1	Peat	Media-Media	4.913	0.691346764
1	B_1	Peat	Media-Media	1.974	0.295347148
1	B_1	Peat	Media-Media	10.963	1.039929414
1	B_1	Peat	Media-Media	1.388	0.142389466
1	B_1	Peat	Media-Media	23.96	1.379486814
1	B_1	Peat	Media-Media	1.801	0.255513713
1	B_1	Peat	Media-Media	2.617	0.417803723
1	B_1	Peat	Media-Media	0.944	-0.025028006
1	B_1	Peat	Media-Media	4.395	0.642958879
1	B_1	Peat	Media-Media	1.116	0.047664195
1	B_1	Peat	Media-Media	4.587	0.66152874
1	B_1	Peat	Media-Media	1.26	0.100370545
1	B_1	Peat	Media-Media	0	#NUM!
1	B_1	Peat	Media-Media	0	#NUM!
1	B_1	Peat	Media-Media	0	#NUM!
1	B_1	Peat	Media-Media	0	#NUM!
1	B_1	Peat	Media-Media	0	#NUM!
1	B_1	Peat	Media-Media	0	#NUM!
1	B_1	Peat	Media-Media	0	#NUM!
1	B_1	Peat	Media-Media	0	#NUM!
1	B_1	Peat	Media-Media	0	#NUM!
1	B_1	Peat	Media-Media	0	#NUM!
1	B_1	Peat	Media-Media	0	#NUM!
1	B_1	Peat	Media-Media	0	#NUM!
1	B_1	Peat	Media-Media	0	#NUM!
1	B_1	Peat	Media-Media	0	#NUM!
1	B_1	Peat+Plant	Bacteria+Fungi-Media	0.826	-0.083019953
1	B_1	Peat+Plant	Bacteria+Fungi-Media	6.038	0.780893109
1	B_1	Peat+Plant	Bacteria+Fungi-Media	67.787	1.831146414
1	B_1	Peat+Plant	Bacteria+Fungi-Media	17.306	1.238196699
1	B_1	Peat+Plant	Bacteria+Fungi-Media	48.018	1.681404067
1	B_1	Peat+Plant	Bacteria+Fungi-Media	0.837	-0.077274542
1	B_1	Peat+Plant	Bacteria+Fungi-Media	32.887	1.517024258
1	B_1	Peat+Plant	Bacteria+Fungi-Media	0.926	-0.033389013
1	B_1	Peat+Plant	Bacteria+Fungi-Media	4.422	0.645618738
1	B_1	Peat+Plant	Bacteria+Fungi-Media	57.377	1.758737837
1	B_1	Peat+Plant	Bacteria+Fungi-Media	4.589	0.661718058
1	B_1	Peat+Plant	Bacteria+Fungi-Media	1.983	0.297322714
1	B_1	Peat+Plant	Bacteria+Fungi-Media	2.858	0.456062224
1	B_1	Peat+Plant	Bacteria+Fungi-Media	2.693	0.430236353
1	B_1	Peat+Plant	Bacteria+Fungi-Media	44.9	1.652246341
1	B_1	Peat+Plant	Bacteria+Fungi-Media	0.588	-0.230622674
1	B_1	Peat+Plant	Bacteria+Fungi-Media	45.291	1.65601191
1	B_1	Peat+Plant	Bacteria+Fungi-Media	1.378	0.139249218
1	B_1	Peat+Plant	Bacteria+Fungi-Media	0	#NUM!
1	B_1	Peat+Plant	Bacteria+Fungi-Media	0	#NUM!
1	B_1	Peat+Plant	Bacteria+Fungi-Media	0	#NUM!
1	B_1	Peat+Plant	Bacteria+Fungi-Media	0	#NUM!
1	B_1	Peat+Plant	Bacteria+Fungi-Media	0	#NUM!
1	B_1	Peat+Plant	Bacteria+Fungi-Media	0	#NUM!
1	B_1	Peat+Plant	Bacteria+Fungi-Media	0	#NUM!
