	Rep	Media	Chamber	Chamber_strain	Chamber_strain_2	Combinaison	Chamber_num	Plate	Well	Comment	Collect	Strains	Ct	Manip
1	1	TSB50	1	R401	R401	R401_BSC	Chamber 1	P1	A1		150	Bacteria	16.6	Bacteria
2	1	TSB50	2	BSC	BSC	R401_BSC	Chamber 2	P1	A2		150	Bacteria	17.67	Bacteria
3	2	TSB50	1	R401	R401	R401_BSC	Chamber 1	P1	A3		150	Bacteria	16.57	Bacteria
4	2	TSB50	2	BSC	BSC	R401_BSC	Chamber 2	P1	A4		150	Bacteria	17.64	Bacteria
5	3	TSB50	1	R401	R401	R401_BSC	Chamber 1	P1	A5		150	Bacteria	17.12	Bacteria
6	3	TSB50	2	BSC	BSC	R401_BSC	Chamber 2	P1	A6		150	Bacteria	17.97	Bacteria
7	4	TSB50	1	R401	R401	R401_BSC	Chamber 1	P1	A7		150	Bacteria	16.3	Bacteria
8	4	TSB50	2	BSC	BSC	R401_BSC	Chamber 2	P1	A8		150	Bacteria	18.6	Bacteria
9	5	TSB50	1	MR401	MR401	MR401_BSC	Chamber 1	P1	A9		150	Bacteria	16.19	Bacteria
10	5	TSB50	2	BSC	BSC	MR401_BSC	Chamber 2	P1	A10		150	Bacteria	15.75	Bacteria
11	6	TSB50	1	MR401	MR401	MR401_BSC	Chamber 1	P1	A11		150	Bacteria	17.18	Bacteria
12	6	TSB50	2	BSC	BSC	MR401_BSC	Chamber 2	P1	A12		150	Bacteria	15.41	Bacteria
13	7	TSB50	1	MR401	MR401	MR401_BSC	Chamber 1	P1	B1		150	Bacteria	16.92	Bacteria
14	7	TSB50	2	BSC	BSC	MR401_BSC	Chamber 2	P1	B2		150	Bacteria	15.62	Bacteria
15	8	TSB50	1	MR401	MR401	MR401_BSC	Chamber 1	P1	B3		150	Bacteria	16.87	Bacteria
16	8	TSB50	2	BSC	BSC	MR401_BSC	Chamber 2	P1	B4		150	Bacteria	15.24	Bacteria
17	9	TSB50	1	C	C	MF_BSC	Chamber 1	P1	B5	Failed top	150	Bacteria		Bacteria
18	9	TSB50	2	BSC	BSC	MF_BSC	Chamber 2	P1	B6	Failed top	150	Bacteria		Bacteria
19	10	TSB50	1	C	C	MF_BSC	Chamber 1	P1	B7		150	Bacteria	32.37	Bacteria
20	10	TSB50	2	BSC	BSC	MF_BSC	Chamber 2	P1	B8		150	Bacteria	15.14	Bacteria
21	11	TSB50	1	C	C	MF_BSC	Chamber 1	P1	B9		150	Bacteria	34.21	Bacteria
22	11	TSB50	2	BSC	BSC	MF_BSC	Chamber 2	P1	B10		150	Bacteria	15.47	Bacteria
23	12	TSB50	1	C	C	MF_BSC	Chamber 1	P1	B11		150	Bacteria	32.82	Bacteria
24	12	TSB50	2	BSC	BSC	MF_BSC	Chamber 2	P1	B12		150	Bacteria	14.25	Bacteria
41	21	TSB50	1	C	C	Control	Chamber 1	P1	D5		150	Bacteria	31.17	C
42	21	TSB50	2	C	C	Control	Chamber 2	P1	D6		150	Bacteria	32.27	C
43	22	TSB50	1	C	C	Control	Chamber 1	P1	D7		150	Bacteria	36.1	C
44	22	TSB50	2	C	C	Control	Chamber 2	P1	D8		150	Bacteria	34.98	C
45	23	TSB50	1	C	C	Control	Chamber 1	P1	D9		150	Bacteria	38.89	C
46	23	TSB50	2	C	C	Control	Chamber 2	P1	D10		150	Bacteria	30.26	C
47	24	TSB50	1	C	C	Control	Chamber 1	P1	D11		150	Bacteria	32.75	C
48	24	TSB50	2	C	C	Control	Chamber 2	P1	D12		150	Bacteria	33.26	C
49		TSB50	1	Control	Bottle	Control_Bottle_1	Chamber 1	P1	E1		150	Bacteria	37.26	C
50		TSB50	2	Control	Bottle	Control_Bottle_1	Chamber 2	P1	E2		150	Bacteria	37.01	C
51		TSB50	1	Control	Bottle	Control_Bottle_1	Chamber 1	P1	E3		150	Bacteria	31.09	C
52		TSB50	2	Control	Bottle	Control_Bottle_2	Chamber 2	P1	E4		150	Bacteria	34.81	C
53		TSB50	1	Control	Bottle	Control_Bottle_2	Chamber 1	P1	E5		150	Bacteria	33.37	C
