	Sample_ID	Chambers	Chambers2	Replicates	Flow.Rate.Pump	Time_sampling_Min	Collected	Real.Flow.Rate
1	One_Chamber_1_7.349	One_Chamber	1	1	7.349	12.15	62	5.102880658
2	One_Chamber_2_7.349	One_Chamber	1	2	7.349	12.15	64	5.267489712
3	One_Chamber_3_7.349	One_Chamber	1	3	7.349	12.15	68	5.596707819
4	One_Chamber_1_14.69	One_Chamber	1	1	14.69	13.53333333	130	9.60591133
5	One_Chamber_2_14.69	One_Chamber	1	2	14.69	13.53333333	136	10.04926108
6	One_Chamber_3_14.69	One_Chamber	1	3	14.69	13.53333333	132	9.753694581
7	One_Chamber_1_29.39	One_Chamber	1	1	29.39	11.35	235	20.70484581
8	One_Chamber_2_29.39	One_Chamber	1	2	29.39	11.35	254	22.37885463
9	One_Chamber_3_29.39	One_Chamber	1	3	29.39	11.35	242	21.3215859
10	One_Chamber_1_66.14	One_Chamber	1	1	66.14	39.53333333	2083	52.68971332
11	One_Chamber_2_66.14	One_Chamber	1	2	66.14	39.53333333	2076	52.51264755
12	One_Chamber_3_66.14	One_Chamber	1	3	66.14	39.53333333	2063	52.18381113
13	One_Chamber_1_124.9	One_Chamber	1	1	124.9	12.73333333	1215	95.41884817
14	One_Chamber_2_124.9	One_Chamber	1	2	124.9	12.73333333	1260	98.95287958
15	One_Chamber_3_124.9	One_Chamber	1	3	124.9	12.73333333	1222	95.96858639
16	One_Chamber_1_257.2	One_Chamber	1	1	257.2	10.25	2109	205.7560976
17	One_Chamber_2_257.2	One_Chamber	1	2	257.2	10.25	2148	209.5609756
18	One_Chamber_3_257.2	One_Chamber	1	3	257.2	10.25	2112	206.0487805
19	One_Chamber_1_514.4	One_Chamber	1	1	514.4	10.88333333	4517	415.0382848
20	One_Chamber_2_514.4	One_Chamber	1	2	514.4	10.88333333	4421	406.2174579
21	One_Chamber_3_514.4	One_Chamber	1	3	514.4	10.88333333	4390	403.3690658
22	One_Chamber_1_1028	One_Chamber	1	1	1028	10.66666667	9110	854.0625
23	One_Chamber_2_1028	One_Chamber	1	2	1028	10.66666667	9025	846.09375
24	One_Chamber_3_1028	One_Chamber	1	3	1028	10.66666667	8975	841.40625
25	One_Chamber_1_2048	One_Chamber	1	1	2048	10.26666667	16372	1594.675325
26	One_Chamber_2_2048	One_Chamber	1	2	2048	10.26666667	16122	1570.324675
27	One_Chamber_3_2048	One_Chamber	1	3	2048	10.26666667	16106	1568.766234
28	One_Chamber_1_4093	One_Chamber	1	1	4093	8.1	26276	3243.950617
29	One_Chamber_2_4093	One_Chamber	1	2	4093	8.1	26160	3229.62963
30	One_Chamber_3_4093	One_Chamber	1	3	4093	8.1	26072	3218.765432
31	One_Chamber_1_7349	One_Chamber	1	1	7349	10.58333333	59960	5665.511811
32	One_Chamber_2_7349	One_Chamber	1	2	7349	10.58333333	58760	5552.125984
33	One_Chamber_3_7349	One_Chamber	1	3	7349	10.58333333	58790	5554.96063
34	Two_Chambers_1_7.349	Two_Chambers	2	1	7.349	14.88333333	84	5.643896976
35	Two_Chambers_2_7.349	Two_Chambers	2	2	7.349	14.88333333	86	5.778275476
36	Two_Chambers_3_7.349	Two_Chambers	2	3	7.349	14.88333333	82	5.509518477
37	Two_Chambers_1_14.69	Two_Chambers	2	1	14.69	10	101	10.1
38	Two_Chambers_2_14.69	Two_Chambers	2	2	14.69	10	98	9.8
39	Two_Chambers_3_14.69	Two_Chambers	2	3	14.69	10	111	11.1
40	Two_Chambers_1_29.39	Two_Chambers	2	1	29.39	15	350	23.33333333
41	Two_Chambers_2_29.39	Two_Chambers	2	2	29.39	15	346	23.06666667
42	Two_Chambers_3_29.39	Two_Chambers	2	3	29.39	15	346	23.06666667
43	Two_Chambers_1_66.14	Two_Chambers	2	1	66.14	12.08333333	628	51.97241379
44	Two_Chambers_2_66.14	Two_Chambers	2	2	66.14	12.08333333	650	53.79310345
45	Two_Chambers_3_66.14	Two_Chambers	2	3	66.14	12.08333333	645	53.37931034
46	Two_Chambers_1_124.9	Two_Chambers	2	1	124.9	14.08333333	1104	78.39053254
47	Two_Chambers_2_124.9	Two_Chambers	2	2	124.9	14.08333333	1088	77.25443787
48	Two_Chambers_3_124.9	Two_Chambers	2	3	124.9	14.08333333	1086	77.11242604
49	Two_Chambers_1_257.2	Two_Chambers	2	1	257.2	21.63333333	4218	194.9768875
50	Two_Chambers_2_257.2	Two_Chambers	2	2	257.2	21.63333333	4084	188.7827427
51	Two_Chambers_3_257.2	Two_Chambers	2	3	257.2	21.63333333	4090	189.0600924
52	Two_Chambers_1_514.4	Two_Chambers	2	1	514.4	11.43333333	4670	408.4548105
53	Two_Chambers_2_514.4	Two_Chambers	2	2	514.4	11.43333333	4518	395.1603499
54	Two_Chambers_3_514.4	Two_Chambers	2	3	514.4	11.43333333	4560	398.8338192
55	Two_Chambers_1_1028	Two_Chambers	2	1	1028	10	7810	781
56	Two_Chambers_2_1028	Two_Chambers	2	2	1028	10	7580	758
57	Two_Chambers_3_1028	Two_Chambers	2	3	1028	10	7580	758
58	Two_Chambers_1_2050	Two_Chambers	2	1	2050	10	15812	1581.2
59	Two_Chambers_2_2050	Two_Chambers	2	2	2050	10	15710	1571
60	Two_Chambers_3_2050	Two_Chambers	2	3	2050	10	15576	1557.6
61	Two_Chambers_1_4093	Two_Chambers	2	1	4093	10	31565	3156.5
62	Two_Chambers_2_4093	Two_Chambers	2	2	4093	10	30825	3082.5
63	Two_Chambers_3_4093	Two_Chambers	2	3	4093	10	31190	3119
64	Two_Chambers_1_7349	Two_Chambers	2	1	7349	10	55750	5575
65	Two_Chambers_2_7349	Two_Chambers	2	2	7349	10	55100	5510
66	Two_Chambers_3_7349	Two_Chambers	2	3	7349	10	55400	5540
