Well	Value	Measurement_mode	Measurement_wavelength	Strain	SM	Time	Time2	Expe	Media	Species	Kingdom	Phylum	Class	Order	Family	Genus
C5	0.0881	Absorbance	600	R565	Control	T0	0	Chamber	Soil_Wash	Achromobacter sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	NA
C6	0.0877	Absorbance	600	R565	Control	T0	0	Chamber	Soil_Wash	Achromobacter sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	NA
C7	0.088	Absorbance	600	R565	Control	T0	0	Chamber	Soil_Wash	Achromobacter sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	NA
D5	0.0891	Absorbance	600	R568	Control	T0	0	Chamber	Soil_Wash	Acidovorax sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
D6	0.0892	Absorbance	600	R568	Control	T0	0	Chamber	Soil_Wash	Acidovorax sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
D7	0.0902	Absorbance	600	R568	Control	T0	0	Chamber	Soil_Wash	Acidovorax sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
E5	0.0867	Absorbance	600	R651	Control	T0	0	Chamber	Soil_Wash	Agrobacterium sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium
E6	0.086	Absorbance	600	R651	Control	T0	0	Chamber	Soil_Wash	Agrobacterium sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium
E7	0.0866	Absorbance	600	R651	Control	T0	0	Chamber	Soil_Wash	Agrobacterium sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium
D2	0.0862	Absorbance	600	R147	Control	T0	0	Chamber	Soil_Wash	Bacillus sp.	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
D3	0.0866	Absorbance	600	R147	Control	T0	0	Chamber	Soil_Wash	Bacillus sp.	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
D4	0.0865	Absorbance	600	R147	Control	T0	0	Chamber	Soil_Wash	Bacillus sp.	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
C9	0.0855	Absorbance	600	BFSC	Control	T0	0	Chamber	Soil_Wash	BFSC	Bacteria Fungi	BFSC	BFSC	BFSC	BFSC	BFSC
C10	0.0861	Absorbance	600	BFSC	Control	T0	0	Chamber	Soil_Wash	BFSC	Bacteria Fungi	BFSC	BFSC	BFSC	BFSC	BFSC
C11	0.0844	Absorbance	600	BFSC	Control	T0	0	Chamber	Soil_Wash	BFSC	Bacteria Fungi	BFSC	BFSC	BFSC	BFSC	BFSC
G5	0.0859	Absorbance	600	BSC	Control	T0	0	Chamber	Soil_Wash	BSC	Bacteria	BSC	BSC	BSC	BSC	BSC
G6	0.0871	Absorbance	600	BSC	Control	T0	0	Chamber	Soil_Wash	BSC	Bacteria	BSC	BSC	BSC	BSC	BSC
G7	0.0861	Absorbance	600	BSC	Control	T0	0	Chamber	Soil_Wash	BSC	Bacteria	BSC	BSC	BSC	BSC	BSC
C2	0.0835	Absorbance	600	R16	Control	T0	0	Chamber	Soil_Wash	Burkholderia sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Methylibium
C3	0.0837	Absorbance	600	R16	Control	T0	0	Chamber	Soil_Wash	Burkholderia sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Methylibium
C4	0.0841	Absorbance	600	R16	Control	T0	0	Chamber	Soil_Wash	Burkholderia sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Methylibium
E9	0.09	Absorbance	600	F147	Control	T0	0	Chamber	Soil_Wash	Dactylonectria macrodidyma	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ilyonectria
E10	0.0902	Absorbance	600	F147	Control	T0	0	Chamber	Soil_Wash	Dactylonectria macrodidyma	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ilyonectria
E11	0.0872	Absorbance	600	F147	Control	T0	0	Chamber	Soil_Wash	Dactylonectria macrodidyma	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ilyonectria
G9	0.0843	Absorbance	600	F243	Control	T0	0	Chamber	Soil_Wash	Dendryphion nanum	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Dendryphion
G10	0.086	Absorbance	600	F243	Control	T0	0	Chamber	Soil_Wash	Dendryphion nanum	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Dendryphion
G11	0.0839	Absorbance	600	F243	Control	T0	0	Chamber	Soil_Wash	Dendryphion nanum	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Dendryphion
G2	0.0845	Absorbance	600	R420	Control	T0	0	Chamber	Soil_Wash	Flavobacterium sp.	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
G3	0.0844	Absorbance	600	R420	Control	T0	0	Chamber	Soil_Wash	Flavobacterium sp.	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
G4	0.0839	Absorbance	600	R420	Control	T0	0	Chamber	Soil_Wash	Flavobacterium sp.	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
B9	0.0838	Absorbance	600	FSC	Control	T0	0	Chamber	Soil_Wash	FSC	Fungi	FSC	FSC	FSC	FSC	FSC
B10	0.0843	Absorbance	600	FSC	Control	T0	0	Chamber	Soil_Wash	FSC	Fungi	FSC	FSC	FSC	FSC	FSC
B11	0.0841	Absorbance	600	FSC	Control	T0	0	Chamber	Soil_Wash	FSC	Fungi	FSC	FSC	FSC	FSC	FSC
F9	0.0847	Absorbance	600	F212	Control	T0	0	Chamber	Soil_Wash	Fusarium oxysporum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
F10	0.0863	Absorbance	600	F212	Control	T0	0	Chamber	Soil_Wash	Fusarium oxysporum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
F11	0.0845	Absorbance	600	F212	Control	T0	0	Chamber	Soil_Wash	Fusarium oxysporum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
F5	0.0873	Absorbance	600	R695	Control	T0	0	Chamber	Soil_Wash	Mesorhizobium sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	NA
F6	0.0872	Absorbance	600	R695	Control	T0	0	Chamber	Soil_Wash	Mesorhizobium sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	NA
F7	0.0868	Absorbance	600	R695	Control	T0	0	Chamber	Soil_Wash	Mesorhizobium sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	NA
B8	0.0822	Absorbance	600	Mg	Control	T0	0	Chamber	Soil_Wash	Mg	Mg	Mg	Mg	Mg	Mg	Mg
C8	0.0826	Absorbance	600	Mg	Control	T0	0	Chamber	Soil_Wash	Mg	Mg	Mg	Mg	Mg	Mg	Mg
D8	0.0825	Absorbance	600	Mg	Control	T0	0	Chamber	Soil_Wash	Mg	Mg	Mg	Mg	Mg	Mg	Mg
E8	0.0827	Absorbance	600	Mg	Control	T0	0	Chamber	Soil_Wash	Mg	Mg	Mg	Mg	Mg	Mg	Mg
F8	0.0819	Absorbance	600	Mg	Control	T0	0	Chamber	Soil_Wash	Mg	Mg	Mg	Mg	Mg	Mg	Mg
G8	0.0825	Absorbance	600	Mg	Control	T0	0	Chamber	Soil_Wash	Mg	Mg	Mg	Mg	Mg	Mg	Mg
D9	0.0845	Absorbance	600	F16	Control	T0	0	Chamber	Soil_Wash	Plectosphaerella cucumerina	Fungi	Ascomycota	Sordariomycetes	Hypocreomycetidae	Plectosphaerellaceae	Plectosphaerella
D10	0.0859	Absorbance	600	F16	Control	T0	0	Chamber	Soil_Wash	Plectosphaerella cucumerina	Fungi	Ascomycota	Sordariomycetes	Hypocreomycetidae	Plectosphaerellaceae	Plectosphaerella
D11	0.0891	Absorbance	600	F16	Control	T0	0	Chamber	Soil_Wash	Plectosphaerella cucumerina	Fungi	Ascomycota	Sordariomycetes	Hypocreomycetidae	Plectosphaerellaceae	Plectosphaerella
B2	0.0827	Absorbance	600	R09	Control	T0	0	Chamber	Soil_Wash	Pseudomonas sp. 1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
B3	0.0834	Absorbance	600	R09	Control	T0	0	Chamber	Soil_Wash	Pseudomonas sp. 1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
B4	0.0845	Absorbance	600	R09	Control	T0	0	Chamber	Soil_Wash	Pseudomonas sp. 1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
F2	0.0853	Absorbance	600	R329	Control	T0	0	Chamber	Soil_Wash	Pseudomonas sp. 2	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
F3	0.0875	Absorbance	600	R329	Control	T0	0	Chamber	Soil_Wash	Pseudomonas sp. 2	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
F4	0.0869	Absorbance	600	R329	Control	T0	0	Chamber	Soil_Wash	Pseudomonas sp. 2	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
B5	0.0843	Absorbance	600	R431	Control	T0	0	Chamber	Soil_Wash	Streptomyces sp.	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces
B6	0.0842	Absorbance	600	R431	Control	T0	0	Chamber	Soil_Wash	Streptomyces sp.	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces
B7	0.0839	Absorbance	600	R431	Control	T0	0	Chamber	Soil_Wash	Streptomyces sp.	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces
E2	0.0869	Absorbance	600	R318	Control	T0	0	Chamber	Soil_Wash	Variovorax sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
E3	0.0874	Absorbance	600	R318	Control	T0	0	Chamber	Soil_Wash	Variovorax sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
E4	0.0867	Absorbance	600	R318	Control	T0	0	Chamber	Soil_Wash	Variovorax sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
C5	0.0881	Absorbance	600	R565	Control	T0	0	Plates	Soil_Wash	Achromobacter sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	NA
C6	0.0877	Absorbance	600	R565	Control	T0	0	Plates	Soil_Wash	Achromobacter sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	NA
C7	0.088	Absorbance	600	R565	Control	T0	0	Plates	Soil_Wash	Achromobacter sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	NA
D5	0.0891	Absorbance	600	R568	Control	T0	0	Plates	Soil_Wash	Acidovorax sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
D6	0.0892	Absorbance	600	R568	Control	T0	0	Plates	Soil_Wash	Acidovorax sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
D7	0.0902	Absorbance	600	R568	Control	T0	0	Plates	Soil_Wash	Acidovorax sp.	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
E5	0.0867	Absorbance	600	R651	Control	T0	0	Plates	Soil_Wash	Agrobacterium sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium
E6	0.086	Absorbance	600	R651	Control	T0	0	Plates	Soil_Wash	Agrobacterium sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium
E7	0.0866	Absorbance	600	R651	Control	T0	0	Plates	Soil_Wash	Agrobacterium sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium
D2	0.0862	Absorbance	600	R147	Control	T0	0	Plates	Soil_Wash	Bacillus sp.	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
D3	0.0866	Absorbance	600	R147	Control	T0	0	Plates	Soil_Wash	Bacillus sp.	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
D4	0.0865	Absorbance	600	R147	Control	T0	0	Plates	Soil_Wash	Bacillus sp.	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
