	Sample_ID	Pump	Chamber	Condition	Community	Failed	Bin	tO	Flow_t0	t15	Flow_t15	t25	Flow_t25	t39	Flow_t39	t48	Flow_t48	t63	Flow_t63	t72	Flow_t72
1	C1-1	P1	Flat	ARE	BFSC	ok	1	0	5.6	5000.0	5.6	3300.0	5.5	4050.0	4.8	2700.0	5.0	4600.0	5.1	2300.0	4.4
2	C1-2	P1	Flat	ARE	BFSC	failed	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	C1-3	P1	Flat	ARE	BFSC	ok	1	0	5.8	5200.0	5.8	3300.0	5.5	4100.0	4.9	2700.0	5.0	4600.0	5.1	2500.0	4.6
4	C1-4	P1	Flat	ARE	BFSC	ok	1	0	5.7	5150.0	5.7	3300.0	5.5	4100.0	4.9	2700.0	5.0	4600.0	5.1	2550.0	4.7
5	C1-5	P1	Flat	ARE	BFSC	ok	1	0	5.6	5000.0	5.6	3300.0	5.5	4000.0	4.8	2700.0	5.0	4700.0	5.2	2550.0	4.7
6	C1-6	P1	Flat	ARE	BFSC	failed	0	0	6.1	5500.0	6.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	C1-7	P1	Flat	ARE	BFSC	ok	1	0	5.8	5200.0	5.8	3300.0	5.5	4150.0	4.9	2700.0	5.0	4700.0	5.2	2300.0	4.3
8	C1-8	P1	Flat	ARE	BFSC	ok	1	0	5.8	5250.0	5.8	3350.0	5.6	4250.0	5.1	2650.0	4.9	4700.0	5.2	2300.0	4.3
9	C1-9	P1	Flat	ARE	BFSC	failed	0	0	5.7	5100.0	5.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	C1-10	P1	Flat	ARE	BFSC	ok	1	0	5.6	5050.0	5.6	3300.0	5.5	4100.0	4.9	2650.0	4.9	4600.0	5.1	2500.0	4.6
11	C1-11	P1	Flat	ARE	BFSC	ok	1	0	6.1	5500.0	6.1	3300.0	5.5	4000.0	4.8	2650.0	4.9	4700.0	5.2	2500.0	4.6
12	C1-12	P1	Flat	ARE	BFSC	ok	1	0	5.8	5250.0	5.8	3300.0	5.5	4000.0	4.8	2700.0	5.0	4700.0	5.2	2500.0	4.6
13	C2-1	P2	Flat	ARE	BFSC	failed	0	0	5.6	5050.0	5.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
